code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,ZES,Zesco United,38,24,8,6,53,22,31,80
2,NKA,Nkana,38,22,10,6,66,27,39,76
3,BUF,Green Buffaloes,38,21,11,6,39,19,20,74
4,EAG,Green Eagles,38,20,11,7,52,29,23,71
5,ZAN,Zanaco,38,21,4,13,53,40,13,67
6,POW,Power Dynamos,38,17,11,10,48,33,15,62
7,KAB,Kabwe Warriors,38,15,13,10,31,27,4,58
8,BUI,Buildcon,38,16,8,14,44,37,7,56
9,RED,Red Arrows,38,13,14,11,34,31,3,53
10,NKW,Nkwazi,38,12,15,11,31,29,2,51
11,LUS,Lusaka Dynamos,38,15,6,17,47,48,-1,51
12,FOR,Forest Rangers,38,14,9,15,38,39,-1,51
13,KIT,Kitwe United,38,11,13,14,36,37,-1,46
14,NAP,NAPSA Stars,38,10,15,13,29,30,-1,45
15,NAK,Nakambala Leopards,38,12,7,19,18,32,-14,43
16,LUM,Lumwana Radiants,38,9,14,15,24,40,-16,41
17,NAT,National Assembly,38,9,12,17,38,55,-17,39
18,KAB,Kabwe YSA,38,5,12,21,28,59,-31,27
19,NCH,Nchanga Rangers,38,6,8,24,16,47,-31,26
20,NMS,New Monze Swallows,38,3,9,26,16,60,-44,18
