code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,NKA,Nkana,27,14,8,5,35,18,17,50
2,FOR,Forest Rangers,27,14,8,5,32,19,13,50
3,EAG,Green Eagles,27,13,9,5,34,19,15,48
4,NAP,NAPSA Stars,27,14,6,7,36,22,14,48
5,ZES,Zesco United,27,13,8,6,38,23,15,47
6,POW,Power Dynamos,27,12,8,7,34,19,15,44
7,ZAN,Zanaco,27,12,8,7,37,26,11,44
8,KAB,Kabwe Warriors,27,12,5,10,29,29,0,41
9,LUS,Lusaka Dynamos,27,11,7,9,33,28,5,40
10,RED,Red Arrows,27,11,7,9,26,28,-2,40
11,BUF,Green Buffaloes,27,10,8,9,28,27,1,38
12,NKW,Nkwazi,27,6,14,7,18,20,-2,32
13,BUI,Buildcon,27,8,8,11,29,35,-6,32
14,LUM,Lumwana Radiants,27,8,7,12,21,22,-1,31
15,KAN,Kansanshi Dynamos,27,6,10,11,19,24,-5,28
16,MUF,Mufulira Wanderers,27,4,5,18,17,39,-22,17
17,NAK,Nakambala Leopards,27,4,5,18,15,45,-30,17
18,KAB,Kabwe YSA,27,3,5,19,16,54,-38,14
