code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,ZES,Zesco United,38,21,11,6,51,27,24,74
2,ZAN,Zanaco,38,20,13,5,57,28,29,73
3,NKA,Nkana,38,21,8,9,53,29,24,71
4,BUF,Green Buffaloes,38,20,10,8,47,26,21,70
5,LUS,Lusaka Dynamos,38,17,12,9,44,33,11,63
6,POW,Power Dynamos,38,15,17,6,50,30,20,62
7,NAP,NAPSA Stars,38,16,10,12,43,34,9,58
8,LUM,Lumwana Radiants,38,15,11,12,39,30,9,56
9,BUI,Buildcon,38,14,13,11,33,28,5,55
10,RED,Red Arrows,38,12,16,10,42,36,6,52
11,FOR,Forest Rangers,38,13,10,15,37,39,-2,49
12,NKW,Nkwazi,38,11,14,13,34,40,-6,47
13,EAG,Green Eagles,38,10,14,14,31,36,-5,44
14,KAB,Kabwe Warriors,38,8,19,11,32,35,-3,43
15,NCH,Nchanga Rangers,38,10,13,15,35,45,-10,43
16,NAK,Nakambala Leopards,38,8,19,11,23,34,-11,43
17,MUF,Mufulira Wanderers,38,9,12,17,38,53,-15,39
18,KON,Konkola Blades,38,7,9,22,24,51,-27,30
19,RNA,Real Nakonde,38,6,10,22,17,53,-36,28
20,CLU,City of Lusaka,38,3,7,28,30,73,-43,16
