code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,RED,Red Arrows,34,20,10,4,52,28,24,70
2,ZES,Zesco United,34,18,9,7,39,22,17,63
3,EAG,Green Eagles,34,14,15,5,34,22,12,57
4,NKA,Nkana,34,14,10,10,35,29,6,52
5,POW,Power Dynamos,34,13,11,10,38,27,11,50
6,ZAN,Zanaco,34,11,16,7,31,28,3,49
7,KAN,Kansanshi Dynamos,34,12,12,10,26,27,-1,48
8,KAB,Kabwe Warriors,34,12,10,12,34,30,4,46
9,PRI,Prison Leopards,34,11,13,10,33,30,3,46
10,BUI,Buildcon,34,12,10,12,38,37,1,46
11,FOR,Forest Rangers,34,9,17,8,37,35,2,44
12,BUF,Green Buffaloes,34,11,11,12,46,46,0,44
13,NKW,Nkwazi,34,10,8,16,25,31,-6,38
14,CHA,Chambishi,34,10,8,16,23,38,-15,38
15,LUS,Lusaka Dynamos,34,6,13,15,27,38,-11,31
16,CEL,Kafue Celtic,34,6,13,15,27,40,-13,31
17,IND,Indeni,34,7,10,17,20,46,-26,31
18,KON,Konkola Blades,34,6,12,16,27,38,-11,30
