code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,POW,Power Dynamos,34,17,14,3,48,19,29,65
2,MUZ,Maestro United Zambia,34,17,8,9,43,28,15,59
3,ZES,Zesco United,34,15,10,9,46,27,19,55
4,BUF,Green Buffaloes,34,13,16,5,41,29,12,55
5,NAP,NAPSA Stars,34,13,12,9,40,26,14,51
6,RED,Red Arrows,34,12,14,8,44,36,8,50
7,EAG,Green Eagles,34,14,8,12,36,34,2,50
8,FOR,Forest Rangers,34,11,15,8,30,24,6,48
9,NKA,Nkana,34,12,12,10,32,27,5,48
10,KAN,Kansanshi Dynamos,34,12,12,10,33,31,2,48
11,KAB,Kabwe Warriors,34,10,16,8,37,27,10,46
12,PRI,Prison Leopards,34,10,15,9,35,36,-1,45
13,ZAN,Zanaco,34,10,11,13,32,32,0,41
14,NKW,Nkwazi,34,9,12,13,30,33,-3,39
15,NCH,Nchanga Rangers,34,8,13,13,32,43,-11,37
16,LUM,Lumwana Radiants,34,7,13,14,32,40,-8,34
17,CHA,Chambishi,34,9,5,20,34,60,-26,32
18,BUI,Buildcon,34,2,4,28,16,89,-73,10
