code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,POW,Power Dynamos,34,20,8,6,54,22,32,68
2,ZES,Zesco United,34,17,12,5,34,20,14,63
3,NKA,Nkana,34,16,10,8,48,29,19,58
4,RED,Red Arrows,34,15,11,8,32,24,8,56
5,KAB,Kabwe Warriors,34,13,12,9,38,27,11,51
6,NKW,Nkwazi,34,12,14,8,31,26,5,50
7,BUF,Green Buffaloes,34,11,12,11,34,35,-1,45
8,MUF,Mufulira Wanderers,34,13,6,15,30,31,-1,45
9,NAP,NAPSA Stars,34,9,17,8,24,22,2,44
10,MUZ,Maestro United Zambia,34,11,11,12,33,34,-1,44
11,NCH,Nchanga Rangers,34,9,15,10,29,28,1,42
12,EAG,Green Eagles,34,9,14,11,32,34,-2,41
13,MSF,CMutondo Stars FC,34,10,11,13,26,34,-8,41
14,ZAN,Zanaco,34,9,12,13,34,41,-7,39
15,LUS,Atletico Lusaka FC,34,10,9,15,27,46,-19,39
16,FOR,Forest Rangers,34,7,17,10,31,34,-3,38
17,LUM,Lumwana Radiants,34,10,7,17,21,36,-15,37
18,IND,Indeni,34,3,6,25,20,55,-35,15
