code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,RED,Red Arrows,34,21,8,5,45,16,29,71
2,ZES,Zesco United,34,15,14,5,46,30,16,59
3,POW,Power Dynamos,34,14,14,6,43,24,19,56
4,MUZ,Maestro United Zambia,34,14,11,9,38,30,8,53
5,KAB,Kabwe Warriors,34,14,10,10,33,26,7,52
6,NKW,Nkwazi,34,14,10,10,33,35,-2,52
7,MUF,Mufulira Wanderers,34,11,10,13,32,32,0,43
8,ZAN,Zanaco,34,9,16,9,27,30,-3,43
9,NKA,Nkana,34,11,10,13,24,30,-6,43
10,FOR,Forest Rangers,34,9,15,10,33,34,-1,42
11,BUF,Green Buffaloes,34,10,12,12,31,35,-4,42
12,EAG,Green Eagles,34,11,9,14,35,41,-6,42
13,MSF,Mutondo Stars FC,34,11,7,16,30,33,-3,40
14,NAP,NAPSA Stars,34,9,13,12,26,30,-4,40
15,KON,Konkola Blades,34,8,15,11,23,31,-8,39
16,PRI,Prison Leopards,34,8,11,15,26,37,-11,35
17,KAN,Kansanshi Dynamos,34,8,11,15,23,36,-13,35
18,TRI,Trident FC,34,4,14,16,26,44,-18,26
