code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,REM,Remo Stars,38,22,5,11,49,31,18,71
2,RUF,CRivers United FC,38,18,10,10,35,29,6,64
3,ABI,AAbia Warriors,38,18,6,14,43,40,3,60
4,IKC,Ikorodu City,38,17,8,13,60,45,15,59
5,BEN,Bendel Insurance FC,38,15,11,12,39,33,6,56
6,ENY,Enyimba,38,14,13,11,38,35,3,55
7,PLA,Plateau United,38,16,9,13,43,38,5,54
8,SHO,Shooting Stars SC,38,15,9,14,39,38,1,54
9,KAN,Kano Pillars,38,15,8,15,44,45,-1,53
10,RAN,Rangers International,38,14,10,14,42,34,8,52
11,BAY,Bayelsa United,38,13,13,12,39,36,3,52
12,NAS,Nasarawa United,38,14,10,14,40,41,-1,52
13,NGR,Niger Tornadoes,38,14,9,15,40,46,-6,51
14,KWA,Kwara United,38,14,8,16,38,36,2,50
15,KAT,Katsina United,38,14,8,16,30,36,-6,50
16,EKW,El Kanemi Warriors,38,12,13,13,34,41,-7,49
17,HEA,Heartland,38,12,12,14,33,34,-1,48
18,AKW,AAkwa United,38,12,8,18,35,39,-4,44
19,SUN,Sunshine Stars,38,11,8,19,34,51,-17,41
20,LOB,Lobi Stars,38,6,10,22,29,56,-27,28
