code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,PLA,Plateau United,38,19,9,10,49,25,24,66
2,MFM,MFM FC,38,19,5,14,42,41,1,62
3,ENY,Enyimba,38,18,7,13,43,28,15,61
4,AKW,Akwa United,38,17,9,12,46,30,16,60
5,NAS,Nasarawa United,38,16,8,14,35,30,5,56
6,EKW,El Kanemi Warriors,38,18,2,18,39,43,-4,56
7,LOB,Lobi Stars,38,15,9,14,43,39,4,54
8,KAN,Kano Pillars,38,16,6,16,38,35,3,54
9,UBA,Ifeanyi Ubah FC,38,15,9,14,39,38,1,54
10,SUN,Sunshine Stars,38,17,3,18,41,43,-2,54
11,NGR,Niger Tornadoes,38,16,6,16,31,35,-4,54
12,ABI,Abia Warriors,38,15,8,15,44,36,8,53
13,RAN,Rangers International,38,14,11,13,39,44,-5,53
14,WIK,Wikki Tourists,38,16,5,17,36,41,-5,53
15,RUF,Rivers United FC,38,14,10,14,34,33,1,52
16,KAT,Katsina United,38,15,7,16,37,38,-1,52
17,SHO,Shooting Stars SC,38,13,11,14,32,38,-6,50
18,ABS,ABS,38,14,7,17,37,50,-13,49
19,GOM,Gombe United,38,11,10,17,32,48,-16,43
20,REM,Remo Stars,38,7,8,23,27,49,-22,29
