code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,RAN,Rangers International,38,21,7,10,56,33,23,70
2,REM,Remo Stars,38,20,5,13,53,39,14,65
3,ENY,Enyimba,38,19,6,13,46,33,13,63
4,SHO,Shooting Stars SC,38,18,8,12,48,34,14,62
5,PLA,Plateau United,38,18,4,16,53,40,13,58
6,LOB,Lobi Stars,38,17,7,14,48,45,3,58
7,KAT,Katsina United,38,15,10,13,42,39,3,55
8,RUF,Rivers United FC,38,15,8,15,51,42,9,53
9,BEN,Bendel Insurance FC,38,14,11,13,32,30,2,53
10,SUN,Sunshine Stars,38,13,13,12,37,37,0,52
11,KAN,Kano Pillars,38,15,7,16,49,50,-1,52
12,ABI,Abia Warriors,38,15,7,16,42,45,-3,52
13,KWA,Kwara United,38,12,15,11,38,37,1,51
14,NGR,Niger Tornadoes,38,14,9,15,38,41,-3,51
15,BAY,Bayelsa United,38,13,11,14,46,50,-4,50
16,AKW,Akwa United,38,14,7,17,44,42,2,49
17,SLS,Sporting Lagos,38,12,10,16,39,44,-5,46
18,DOM,Doma United,38,11,11,16,26,42,-16,44
19,HEA,Heartland,38,9,11,18,36,50,-14,38
20,GOM,Gombe United,38,8,7,23,27,78,-51,25
