code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,RUF,CRivers United FC,38,23,8,7,58,24,34,77
2,PLA,Plateau United,38,21,4,13,50,29,21,67
3,REM,Remo Stars,38,18,8,12,43,26,17,62
4,KWA,Kwara United,38,17,7,14,43,45,-2,58
5,RAN,Rangers International,38,15,11,12,41,30,11,56
6,NAS,Nasarawa United,38,15,8,15,42,48,-6,53
7,ENY,Enyimba,38,15,7,16,39,36,3,52
8,GOM,Gombe United,38,14,10,14,39,39,0,52
9,AKW,AAkwa United,38,13,13,12,35,36,-1,52
10,WIK,Wikki Tourists,38,15,7,16,34,35,-1,52
11,SUN,Sunshine Stars,38,14,9,15,30,30,0,51
12,NGR,Niger Tornadoes,38,15,6,17,32,38,-6,51
13,ABI,AAbia Warriors,38,13,11,14,50,44,6,50
14,DAK,Dakkada FC,38,15,4,19,42,49,-7,49
15,LOB,Lobi Stars,38,14,7,17,36,48,-12,49
16,SHO,Shooting Stars SC,38,12,12,14,41,45,-4,48
17,KAT,Katsina United,38,15,3,20,34,42,-8,48
18,HEA,Heartland,38,13,8,17,32,48,-16,47
19,KAN,Kano Pillars,38,15,6,17,32,36,-4,45
20,MFM,MFM FC,38,9,9,20,26,51,-25,36
