code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,AKW,Akwa United,38,19,14,5,53,24,29,71
2,ENY,Enyimba,38,18,12,8,41,33,8,66
3,KWA,Kwara United,38,19,8,11,48,28,20,65
4,NAS,Nasarawa United,38,20,5,13,55,38,17,65
5,KAN,Kano Pillars,38,19,7,12,38,29,9,64
6,RUF,Rivers United FC,38,18,9,11,48,36,12,63
7,RAN,Rangers International,38,18,8,12,43,31,12,62
8,LOB,Lobi Stars,38,17,7,14,43,39,4,58
9,PLA,Plateau United,38,14,9,15,45,35,10,51
10,MFM,MFM FC,38,13,12,13,34,35,-1,51
11,DAK,Dakkada FC,38,15,5,18,37,47,-10,50
12,KAT,Katsina United,38,14,7,17,35,42,-7,49
13,HEA,Heartland,38,13,9,16,43,50,-7,48
14,ABI,Abia Warriors,38,12,11,15,48,42,6,47
15,WIK,Wikki Tourists,38,12,9,17,40,47,-7,45
16,SUN,Sunshine Stars,38,11,12,15,28,39,-11,45
17,JIG,Jigawa Stars,38,11,10,17,29,46,-17,43
18,WOL,Warri Wolves,38,11,8,19,30,45,-15,41
19,UBA,Ifeanyi Ubah FC,38,9,12,17,33,50,-17,39
20,ADA,Adamawa United,38,5,10,23,20,55,-35,25
