code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,PLA,Plateau United,25,14,7,4,36,15,21,49
2,RUF,Rivers United FC,25,13,6,6,28,15,13,45
3,LOB,Lobi Stars,25,12,7,6,26,19,7,43
4,RAN,Rangers International,24,10,7,7,25,20,5,37
5,ENY,Enyimba,20,11,3,6,30,20,10,36
6,AKW,Akwa United,25,8,11,6,23,22,1,35
7,KAN,Kano Pillars,24,8,10,6,27,18,9,34
8,DAK,Dakkada FC,26,8,10,8,26,26,0,34
9,SUN,Sunshine Stars,25,9,7,9,27,29,-2,34
10,KAT,Katsina United,24,9,7,8,18,25,-7,34
11,WOL,Warri Wolves,24,9,6,9,25,23,2,33
12,UBA,Ifeanyi Ubah FC,25,10,3,12,25,28,-3,33
13,HEA,Heartland,25,9,5,11,21,21,0,32
14,MFM,MFM FC,25,8,7,10,19,19,0,31
15,WIK,Wikki Tourists,25,8,7,10,23,24,-1,31
16,ABI,Abia Warriors,25,8,6,11,23,28,-5,30
17,NAS,Nasarawa United,25,8,5,12,27,27,0,29
18,JIG,Jigawa Stars,25,9,2,14,25,35,-10,29
19,KWA,Kwara United,25,8,4,13,23,33,-10,28
20,ADA,Adamawa United,25,6,2,17,17,47,-30,20
