code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,17,8,5,43,22,21,59
2,KAI,Kaizer Chiefs,30,17,6,7,48,27,21,57
3,ORL,Orlando Pirates,30,14,10,6,40,29,11,52
4,BID,Bidvest Wits,30,14,10,6,33,22,11,52
5,SSU,SuperSport United,30,14,8,8,43,26,17,50
6,CTF,Cape Town City,30,11,9,10,40,37,3,42
7,MAR,Maritzburg United,30,10,12,8,29,27,2,42
8,CEL,Bloemfontein Celtic,30,9,12,9,43,39,4,39
9,HPF,Highlands Park,30,9,12,9,31,35,-4,39
10,STE,Stellenbosch,30,9,9,12,26,34,-8,36
11,CHI,Chippa United,30,8,10,12,18,26,-8,34
12,ARR,Golden Arrows,30,8,10,12,23,35,-12,34
13,AMA,Amazulu,30,7,9,14,20,33,-13,30
14,BAR,Baroka FC,30,7,8,15,19,28,-9,29
15,BLK,Black Leopards,30,8,5,17,27,44,-17,29
16,PFC,Polokwane City,30,7,4,19,25,44,-19,25
