code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,19,8,3,56,20,36,65
2,CTF,Cape Town City,30,12,13,5,32,24,8,49
3,ROY,Royal AM,30,12,11,7,43,31,12,47
4,STE,Stellenbosch,30,11,14,5,32,23,9,47
5,KAI,Kaizer Chiefs,30,13,8,9,34,26,8,47
6,ORL,Orlando Pirates,30,10,14,6,34,28,6,44
7,AMA,Amazulu,30,8,17,5,24,22,2,41
8,SSU,SuperSport United,30,10,10,10,36,32,4,40
9,ARR,Golden Arrows,30,9,13,8,35,40,-5,40
10,MAR,Marumo Gallants,30,7,13,10,22,28,-6,34
11,SEK,Sekhukhune United,30,8,9,13,21,24,-3,33
12,MAR,Maritzburg United,30,7,10,13,22,33,-11,31
13,TSG,TS Galaxy,30,7,9,14,22,38,-16,30
14,CHI,Chippa United,30,5,14,11,22,34,-12,29
15,MOR,Moroka Swallows,30,4,14,12,22,36,-14,26
16,BAR,Baroka FC,30,6,7,17,22,40,-18,25
