code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,28,24,1,3,65,13,52,73
2,ORL,Orlando Pirates,28,19,4,5,43,20,23,61
3,STE,Stellenbosch,28,13,9,6,34,21,13,48
4,SEK,Sekhukhune United,28,13,7,8,39,31,8,46
5,TSG,TS Galaxy,28,8,11,9,30,30,0,35
6,AMA,Amazulu,28,10,5,13,29,34,-5,35
7,PFC,Polokwane City,28,8,10,10,19,25,-6,34
8,RBF,CRichards Bay,28,9,6,13,19,26,-7,33
9,KAI,Kaizer Chiefs,28,8,8,12,25,32,-7,32
10,MAR,Marumo Gallants,28,8,8,12,26,39,-13,32
11,CHI,Chippa United,28,8,7,13,22,28,-6,31
12,ARR,Golden Arrows,28,7,10,11,20,32,-12,31
13,MAG,Magesi FC,28,8,7,13,19,31,-12,31
14,SSU,SuperSport United,28,6,9,13,18,30,-12,27
15,CTF,CCape Town City,28,7,6,15,15,31,-16,27
16,ROY,Royal AM,0,0,0,0,0,0,0,0
