code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,21,7,2,52,13,39,70
2,ORL,Orlando Pirates,30,16,6,8,40,21,19,54
3,SSU,SuperSport United,30,14,9,7,34,22,12,51
4,CTF,Cape Town City,30,12,9,9,34,30,4,45
5,KAI,Kaizer Chiefs,30,13,5,12,32,33,-1,44
6,STE,Stellenbosch,30,10,10,10,39,38,1,40
7,SEK,Sekhukhune United,30,10,10,10,24,27,-3,40
8,MOR,Moroka Swallows,30,11,7,12,26,33,-7,40
9,ARR,Golden Arrows,30,10,8,12,32,40,-8,38
10,TSG,TS Galaxy,30,7,14,9,28,22,6,35
11,ROY,Royal AM,30,9,8,13,33,43,-10,35
12,AMA,Amazulu,30,7,12,11,29,33,-4,33
13,RBF,Richards Bay,30,8,9,13,20,30,-10,33
14,CHI,Chippa United,30,7,9,14,29,44,-15,30
15,MAR,Maritzburg United,30,7,9,14,24,40,-16,30
16,MAR,Marumo Gallants,30,5,14,11,27,34,-7,29
