code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,19,10,1,49,14,35,67
2,AMA,Amazulu,30,15,9,6,38,23,15,54
3,ORL,Orlando Pirates,30,13,11,6,33,22,11,50
4,ARR,Golden Arrows,30,11,14,5,40,28,12,47
5,SSU,SuperSport United,30,11,12,7,37,31,6,45
6,MOR,Moroka Swallows,30,8,20,2,31,23,8,44
7,CTF,Cape Town City,30,10,11,9,42,40,2,41
8,KAI,Kaizer Chiefs,30,8,12,10,34,37,-3,36
9,TSG,TS Galaxy,30,9,9,12,26,31,-5,36
10,BAR,Baroka FC,30,7,13,10,28,36,-8,34
11,CEL,Bloemfontein Celtic,30,6,14,10,30,35,-5,32
12,MAR,Marumo Gallants,30,7,10,13,19,35,-16,31
13,MAR,Maritzburg United,30,7,9,14,27,36,-9,30
14,STE,Stellenbosch,30,5,14,11,26,32,-6,29
15,CHI,Chippa United,30,5,12,13,24,37,-13,27
16,BLK,Black Leopards,30,5,8,17,23,47,-24,23
