code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,18,6,6,49,24,25,60
2,ORL,Orlando Pirates,30,15,10,5,41,26,15,55
3,KAI,Kaizer Chiefs,30,12,12,6,27,22,5,48
4,MAR,Maritzburg United,30,11,11,8,36,23,13,44
5,CTF,Cape Town City,30,11,7,12,26,27,-1,40
6,FSS,Free State Stars,30,10,10,10,29,31,-2,40
7,SSU,SuperSport United,30,9,12,9,28,28,0,39
8,ARR,Golden Arrows,30,8,14,8,36,34,2,38
9,AMA,Amazulu,30,9,11,10,30,35,-5,38
10,CHI,Chippa United,30,7,16,7,27,26,1,37
11,CEL,Bloemfontein Celtic,30,8,13,9,25,32,-7,37
12,PFC,Polokwane City,30,7,15,8,33,33,0,36
13,BID,Bidvest Wits,30,9,9,12,27,36,-9,36
14,BAR,Baroka FC,30,7,13,10,32,38,-6,34
15,PLA,Platinum Stars,30,6,9,15,23,35,-12,27
16,CTS,Cape Town Spurs FC,30,6,6,18,21,40,-19,24
