code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,22,7,1,52,11,41,73
2,ORL,Orlando Pirates,30,14,8,8,44,26,18,50
3,STE,Stellenbosch,30,14,8,8,39,24,15,50
4,SEK,Sekhukhune United,30,12,9,9,31,24,7,45
5,CTF,Cape Town City,30,12,9,9,32,26,6,45
6,TSG,TS Galaxy,30,12,8,10,31,25,6,44
7,SSU,SuperSport United,30,11,11,8,35,33,2,44
8,PFC,Polokwane City,30,9,12,9,21,27,-6,39
9,ARR,Golden Arrows,30,10,8,12,33,44,-11,38
10,KAI,Kaizer Chiefs,30,9,9,12,25,30,-5,36
11,AMA,Amazulu,30,8,12,10,24,30,-6,36
12,CHI,Chippa United,30,8,10,12,26,29,-3,34
13,ROY,Royal AM,30,9,6,15,24,43,-19,33
14,MOR,Moroka Swallows,30,8,8,14,24,36,-12,32
15,RBF,Richards Bay,30,8,6,16,24,37,-13,30
16,CTS,Cape Town Spurs FC,30,6,5,19,23,43,-20,23
