code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,VIP,Vipers,28,15,8,5,40,13,27,53
2,KCC,KCCA,28,15,8,5,44,23,21,53
3,SCV,SC Villa,28,17,3,8,29,20,9,52
4,ARH,Arua Hill SC,28,13,5,10,33,28,5,44
5,URA,URA,28,10,12,6,36,23,13,42
6,MAR,Maroons FC,28,10,11,7,28,29,-1,41
7,BUL,Bul FC,28,8,12,8,31,23,8,36
8,WAK,Wakiso Giants,28,9,9,10,30,27,3,36
9,BRS,Bright Stars,28,9,8,11,23,30,-7,35
10,EXP,Express,28,8,10,10,31,35,-4,34
11,ENT,Entebbe UPPC,28,7,10,11,22,29,-7,31
12,BUS,Busoga United,28,9,4,15,21,40,-19,28
13,UPD,UPDF,28,6,9,13,24,40,-16,27
14,BPB,Blacks Power,28,6,8,14,21,41,-20,26
15,OND,Onduparaka,28,5,9,14,26,38,-12,22
