code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,VIP,Vipers,30,19,8,3,50,20,30,65
2,KCC,KCCA,30,17,10,3,54,21,33,61
3,SCV,SC Villa,30,16,9,5,30,12,18,55
4,OND,Onduparaka,30,13,9,8,28,17,11,48
5,BUS,Busoga United,30,12,8,10,31,27,4,43
6,BUL,Bul FC,30,11,6,13,26,29,-3,39
7,POL,Police FC,30,11,6,13,31,39,-8,39
8,BRS,Bright Stars,30,8,14,8,24,26,-2,38
9,URA,URA,30,9,10,11,26,28,-2,37
10,MAR,Maroons FC,30,6,19,5,18,20,-2,37
11,MBA,Mbarara,30,6,14,10,17,25,-8,32
12,TOO,Tooro United,30,8,8,14,19,35,-16,32
13,EXP,Express,30,8,7,15,25,31,-6,31
14,UPD,UPDF,30,7,8,15,22,41,-19,29
15,PRO,Proline,30,7,7,16,27,34,-7,28
16,MAS,Masavu FC,30,5,11,14,18,41,-23,26
