code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,KCC,KCCA,30,19,9,2,61,23,38,66
2,VIP,Vipers,30,16,11,3,40,20,20,59
3,URA,URA,30,12,15,3,28,13,15,51
4,TOO,Tooro United,30,13,10,7,32,23,9,49
5,MBA,Mbarara,30,12,10,8,34,24,10,46
6,OND,Onduparaka,30,12,9,9,28,23,5,45
7,BUL,Bul FC,30,11,10,9,33,28,5,43
8,BRS,Bright Stars,30,10,11,9,38,30,8,41
9,BUS,Busoga United,30,10,11,9,28,34,-6,41
10,EXP,Express,30,10,10,10,30,30,0,40
11,POL,Police FC,30,10,7,13,41,48,-7,37
12,SCV,SC Villa,30,7,13,10,38,36,2,34
13,MAR,Maroons FC,30,8,9,13,32,40,-8,33
14,NDE,Ndejje University,30,6,9,15,23,41,-18,27
15,NYA,Nyamityobora,30,4,5,21,22,57,-35,17
16,PBA,Paidha Black Angels,30,2,7,21,17,55,-38,13
