code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,VIP,Vipers,30,23,5,2,69,19,50,74
2,KCC,KCCA,30,15,11,4,41,21,20,56
3,URA,URA,30,15,10,5,57,27,30,55
4,BUL,Bul FC,30,14,10,6,54,32,22,52
5,ARH,Arua Hill SC,30,14,10,6,38,27,11,52
6,EXP,Express,30,11,13,6,31,25,6,46
7,WAK,Wakiso Giants,30,12,3,15,38,47,-9,39
8,ENT,Entebbe UPPC,30,9,10,11,33,36,-3,37
9,OND,Onduparaka,30,10,9,11,34,37,-3,37
10,UPD,UPDF,30,9,10,11,33,42,-9,37
11,BRS,Bright Stars,30,9,9,12,26,34,-8,36
12,SCV,SC Villa,30,8,10,12,27,32,-5,33
13,BUS,Busoga United,30,9,5,16,26,45,-19,32
14,POL,Police FC,30,6,10,14,32,46,-14,28
15,MBA,Mbarara,30,6,7,17,28,36,-8,25
16,TOO,Tooro United,30,2,4,24,20,81,-61,10
