code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,VIP,Vipers,30,21,6,3,49,15,34,69
2,NEC,NEC FC,30,20,7,3,44,19,25,67
3,BUL,Bul FC,30,16,11,3,38,19,19,59
4,URA,URA,30,16,4,10,42,23,19,52
5,KCC,AKCCA,30,14,8,8,47,24,23,50
6,SCV,SC Villa,30,12,9,9,44,30,14,45
7,KIT,Kitara,30,12,8,10,45,20,25,44
8,MAR,Maroons FC,30,12,7,11,29,32,-3,43
9,EXP,Express,30,11,6,13,30,45,-15,39
10,UPD,FUPDF,30,10,9,11,29,34,-5,39
11,POL,Police FC,30,8,12,10,27,28,-1,36
12,MBA,Mbarara,30,8,8,14,22,33,-11,32
13,LUG,Lugazi,30,7,10,13,19,33,-14,31
14,BRS,Bright Stars,30,4,8,18,23,47,-24,20
15,WAK,Wakiso Giants,30,3,11,16,17,47,-30,20
16,MBA,LMbale Heroes,30,2,4,24,13,69,-56,10
