code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,EXP,Express,26,17,7,2,44,13,31,58
2,URA,URA,26,17,6,3,41,18,23,57
3,VIP,Vipers,26,17,5,4,56,21,35,56
4,KCC,KCCA,27,14,6,7,56,22,34,48
5,BRS,Bright Stars,27,11,9,7,40,27,13,42
6,POL,Police FC,27,11,7,9,50,31,19,40
7,MBA,Mbarara,27,10,8,9,30,34,-4,38
8,UPD,FUPDF,27,11,4,12,34,39,-5,37
9,WAK,Wakiso Giants,26,8,12,6,42,33,9,36
10,SCV,SC Villa,27,9,9,9,29,30,-1,36
11,BUL,Bul FC,27,9,6,12,39,41,-2,33
12,OND,Onduparaka,26,8,4,14,25,45,-20,28
13,BUS,Busoga United,26,6,8,12,21,44,-23,26
14,KYE,Kyetume,27,5,8,14,28,47,-19,23
15,MYD,MYDA FC,27,3,5,19,32,77,-45,14
16,KIT,Kitara,27,3,4,20,35,80,-45,13
