code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,SCV,SC Villa,29,16,9,4,40,21,19,57
2,BUL,Bul FC,29,16,8,5,36,17,19,56
3,VIP,Vipers,29,16,8,5,45,20,25,56
4,KIT,Kitara,29,16,6,7,46,24,22,54
5,KCC,KCCA,29,15,4,10,54,33,21,49
6,NEC,NEC FC,29,14,6,9,35,34,1,48
7,MAR,Maroons FC,29,10,11,8,35,26,9,41
8,URA,URA,29,10,10,9,30,27,3,40
9,BRS,Bright Stars,29,7,15,7,33,33,0,36
10,MBA,Mbarara,29,6,14,9,22,29,-7,32
11,WAK,Wakiso Giants,29,9,5,15,27,42,-15,32
12,EXP,Express,29,9,5,15,36,38,-2,32
13,UPD,UPDF,29,7,6,16,23,39,-16,27
14,BUS,Busoga United,29,6,7,16,25,53,-28,25
15,ENT,Entebbe UPPC,29,7,4,18,24,54,-30,25
16,ARH,Arua Hill SC,15,1,2,12,12,33,-21,5
