code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,TUS,Tusker,33,18,9,6,40,17,23,63
2,KHB,Kakamega Homeboyz,33,17,12,4,51,32,19,63
3,MTW,Bandari Mtwara,33,14,12,7,40,26,14,54
4,GMA,Gor Mahia,32,13,13,6,35,29,6,52
5,NAI,Nairobi City Stars,33,13,10,10,42,34,8,49
6,LEO,AFC Leopards,32,11,13,8,40,35,5,46
7,KCB,KCB,33,11,13,9,38,33,5,46
8,SOF,Sofapaka,32,11,13,8,30,26,4,46
9,KAR,Kariobangi Sharks,33,12,9,12,44,37,7,45
10,POL,Police United,33,10,14,9,42,35,7,44
11,TAL,Talanta,33,11,11,11,39,41,-2,44
12,PRF,CPosta Rangers,33,11,8,14,41,39,2,41
13,ULI,Ulinzi Stars,31,9,13,9,19,22,-3,40
14,NZO,Nzoia United,33,6,16,11,33,39,-6,34
15,BID,Bidco United,33,7,12,14,30,40,-10,33
16,WAZ,Wazito,33,8,7,18,32,50,-18,31
17,VIH,Vihiga Bullets,32,4,9,19,22,58,-36,21
18,MAT,Mathare United,17,2,2,13,13,38,-25,8
