code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,GMA,Gor Mahia,34,21,9,4,58,25,33,72
2,MTW,Bandari Mtwara,34,18,10,6,45,29,16,64
3,SOF,Sofapaka,34,16,14,4,50,30,20,62
4,TUS,Tusker,34,15,11,8,49,32,17,56
5,SUG,SoNy Sugar,34,16,8,10,41,28,13,56
6,MAT,Mathare United,34,14,13,7,48,35,13,55
7,KHB,Kakamega Homeboyz,34,14,10,10,47,31,16,52
8,ULI,Ulinzi Stars,34,10,15,9,36,32,4,45
9,KAR,Kariobangi Sharks,34,10,15,9,40,37,3,45
10,KCB,KCB,34,11,12,11,38,36,2,45
11,LEO,AFC Leopards,34,11,10,13,33,39,-6,43
12,NZO,Nzoia United,34,9,12,13,31,36,-5,39
13,WST,Western Stima,34,8,15,11,27,37,-10,39
14,CHE,Chemelil Sugar,34,8,10,16,27,41,-14,34
15,ZOO,Zoo Kericho FC,34,7,12,15,30,49,-19,33
16,PRF,CPosta Rangers,34,7,11,16,28,36,-8,32
17,VIH,Vihiga United,34,4,14,16,27,48,-21,26
18,MKU,Mt. Kenya United,34,5,3,26,31,85,-54,18
