code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,GMA,Gor Mahia,34,21,10,3,48,20,28,73
2,TUS,Tusker,34,20,5,9,47,26,21,65
3,POL,Police,34,15,12,7,42,28,14,57
4,MTW,Bandari Mtwara,34,14,10,10,31,26,5,52
5,LEO,AFC Leopards,34,13,12,9,32,23,9,51
6,NAI,Nairobi City Stars,34,13,11,10,42,39,3,50
7,KAR,Kariobangi Sharks,34,12,12,10,44,34,10,48
8,KHB,Kakamega Homeboyz,34,12,12,10,33,28,5,48
9,PRF,CPosta Rangers,34,13,9,12,30,31,-1,48
10,KCB,KCB,34,10,15,9,31,32,-1,45
11,BID,Bidco United,34,11,11,12,36,38,-2,44
12,ULI,Ulinzi Stars,34,10,9,15,24,28,-4,39
13,MUR,Murang'a Seal FC,34,9,11,14,28,34,-6,38
14,SHA,Shabana,34,10,8,16,38,45,-7,38
15,TAL,Talanta,34,8,13,13,35,48,-13,37
16,SOF,Sofapaka,34,9,9,16,39,53,-14,36
17,MUH,Muhoroni Youth,34,6,14,14,24,35,-11,32
18,NZO,Nzoia United,34,5,7,22,24,60,-36,22
