code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,GMA,Gor Mahia,23,17,3,3,47,17,30,54
2,KHB,Kakamega Homeboyz,22,14,5,3,45,24,21,47
3,TUS,Tusker,22,13,7,2,41,21,20,46
4,ULI,Ulinzi Stars,23,11,10,2,32,15,17,43
5,KCB,KCB,23,12,6,5,37,20,17,42
6,LEO,AFC Leopards,23,11,7,5,30,17,13,40
7,WST,Western Stima,23,9,9,5,34,27,7,36
8,MAT,Mathare United,22,8,9,5,33,26,7,33
9,MTW,Bandari Mtwara,23,9,5,9,29,27,2,32
10,SOF,Sofapaka,23,8,7,8,34,29,5,31
11,PRF,CPosta Rangers,23,7,9,7,28,26,2,30
12,KAR,Kariobangi Sharks,22,4,8,10,27,32,-5,20
13,WAZ,Wazito,23,4,8,11,24,30,-6,20
14,ZOO,Zoo Kericho FC,22,4,4,14,23,41,-18,16
15,NZO,Nzoia United,22,2,7,13,18,39,-21,13
16,KIS,Kisumu All Stars,22,2,3,17,13,50,-37,9
17,CHE,Chemelil Sugar,23,2,3,18,11,65,-54,9
18,SUG,SoNy Sugar,0,0,0,0,0,0,0,0
