code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,GMA,Gor Mahia,34,20,10,4,53,22,31,70
2,TUS,Tusker,34,20,9,5,45,23,22,69
3,POL,Police,34,18,10,6,57,22,35,64
4,NZO,Nzoia United,34,18,10,6,43,23,20,64
5,KCB,KCB,34,18,10,6,37,19,18,64
6,MTW,Bandari Mtwara,34,18,6,10,44,27,17,60
7,LEO,AFC Leopards,34,14,9,11,32,25,7,51
8,KHB,Kakamega Homeboyz,34,13,10,11,35,27,8,49
9,ULI,Ulinzi Stars,34,12,13,9,35,34,1,49
10,SOF,Sofapaka,34,10,12,12,32,37,-5,42
11,KAR,Kariobangi Sharks,34,10,11,13,46,46,0,41
12,PRF,CPosta Rangers,34,10,10,14,33,41,-8,40
13,BID,Bidco United,34,9,9,16,37,36,1,36
14,TAL,Talanta,34,8,12,14,35,50,-15,36
15,NAI,Nairobi City Stars,34,8,10,16,37,49,-12,34
16,WAZ,Wazito,34,7,8,19,22,50,-28,29
17,MAT,Mathare United,34,8,2,24,26,62,-36,26
18,VIH,Vihiga Bullets,34,3,3,28,28,84,-56,12
