code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,SMR,Samartex,34,19,4,11,45,28,17,61
2,ACC,Accra Lions,34,14,9,11,37,36,1,51
3,BCH,Berekum Chelsea,34,15,6,13,37,41,-4,51
4,NSO,Nsoatreman,34,14,8,12,33,29,4,50
5,ADU,Aduana Stars,34,16,2,16,43,36,7,50
6,ASA,Asante Kotoko,34,14,7,13,35,29,6,49
7,NAT,Nations,34,14,7,13,32,28,4,49
8,MED,Medeama,34,14,7,13,27,26,1,49
9,DRE,Dreams F.C.,34,13,9,12,44,35,9,48
10,BEC,Bechem United,34,12,12,10,41,34,7,48
11,BGS,Bibiani Gold Stars,34,12,11,11,41,40,1,47
12,KAR,Karela,34,12,10,12,36,42,-6,46
13,LEG,Legon Cities,34,13,6,15,29,38,-9,45
14,OAK,Hearts of Oak,34,11,12,11,35,31,4,45
15,HOL,Heart of Lions,34,11,12,11,34,29,5,45
16,OLY,Great Olympics,34,11,11,12,27,27,0,44
17,BOF,Bofoakwe Tano,34,6,15,13,21,36,-15,33
18,RTU,RTU,34,9,4,21,31,63,-32,31
