code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MED,Medeama,15,8,4,3,19,12,7,28
2,ASH,Ashanti Gold,15,8,3,4,15,9,6,27
3,KAR,Karela,15,7,4,4,17,10,7,25
4,ASA,Asante Kotoko,15,7,3,5,15,13,2,24
5,INT,Inter Allies,15,8,0,7,15,15,0,24
6,DRE,Dreams F.C.,15,7,3,5,13,15,-2,24
7,ELM,Elmina Sharks,15,4,9,2,14,12,2,21
8,WAF,AWAFA,15,5,5,5,22,17,5,20
9,BCH,Berekum Chelsea,15,5,4,6,14,14,0,19
10,BEC,Bechem United,15,5,4,6,17,20,-3,19
11,LIB,Liberty Professionals,15,4,5,6,15,18,-3,17
12,ELE,Eleven Wonders,15,5,2,8,13,16,-3,17
13,OAK,Hearts of Oak,14,4,5,5,13,16,-3,17
14,ADU,Aduana Stars,12,4,2,6,18,16,2,14
15,EBU,Ebusua Dwarfs,14,3,5,6,13,20,-7,14
16,LEG,Legon Cities,14,2,4,8,8,18,-10,10
