code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,BGS,Bibiani Gold Stars,34,18,9,7,38,21,17,63
2,HOL,Heart of Lions,34,17,9,8,38,24,14,60
3,ASA,Asante Kotoko,34,16,10,8,37,27,10,58
4,OAK,Hearts of Oak,34,16,10,8,32,18,14,58
5,NAT,Nations,34,18,6,10,40,21,19,57
6,DRE,Dreams F.C.,34,14,10,10,31,29,2,52
7,SMR,Samartex,34,13,12,9,33,25,8,51
8,MED,Medeama,34,15,5,14,44,34,10,50
9,ADU,Aduana Stars,34,12,11,11,39,34,5,47
10,BEC,Bechem United,34,14,8,12,32,28,4,47
11,VIS,Vision FC,34,11,12,11,34,35,-1,45
12,BCH,Berekum Chelsea,34,12,8,14,35,35,0,44
13,BHS,Basake Holy Stars,34,11,8,15,34,37,-3,41
14,KAR,Karela,34,11,8,15,28,26,2,41
15,YAP,Young Apostles,34,10,10,14,24,36,-12,40
16,ACC,Accra Lions,34,9,8,17,32,44,-12,35
17,LEG,Legon Cities,34,7,4,23,23,53,-30,25
18,NSO,Nsoatreman,34,5,6,23,17,64,-47,15
