code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,ASA,Asante Kotoko,34,19,10,5,48,20,28,67
2,MED,Medeama,34,16,8,10,28,25,3,56
3,BEC,Bechem United,34,13,15,6,37,24,13,54
4,KAR,Karela,34,13,13,8,43,33,10,52
5,OLY,Great Olympics,34,12,12,10,36,31,5,48
6,OAK,Hearts of Oak,34,12,12,10,33,29,4,48
7,ASH,Ashanti Gold,34,13,8,13,46,37,9,47
8,BCH,Berekum Chelsea,34,12,11,11,29,30,-1,47
9,LEG,Legon Cities,34,11,13,10,34,26,8,46
10,BGS,Bibiani Gold Stars,34,14,4,16,34,40,-6,46
11,ADU,Aduana Stars,34,11,12,11,33,28,5,45
12,ACC,Accra Lions,34,12,9,13,26,38,-12,45
13,DRE,Dreams F.C.,34,11,11,12,47,44,3,44
14,KIN,King Faisal Babes,34,12,6,16,30,34,-4,42
15,RTU,RTU,34,10,11,13,40,48,-8,41
16,ELE,Eleven Wonders,34,10,10,14,29,38,-9,40
17,WAF,AWAFA,34,8,11,15,27,42,-15,35
18,ELM,Elmina Sharks,34,5,8,21,24,57,-33,23
