code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MED,Medeama,15,9,3,3,19,8,11,30
2,ADU,Aduana Stars,15,8,4,3,17,11,6,28
3,BCH,Berekum Chelsea,15,8,2,5,17,14,3,26
4,ASA,Asante Kotoko,14,7,4,3,14,7,7,25
5,ELM,Elmina Sharks,15,6,7,2,19,14,5,25
6,ASH,Ashanti Gold,15,7,4,4,12,10,2,25
7,WAF,AWAFA,15,5,7,3,17,12,5,22
8,BEC,Bechem United,15,6,4,5,15,14,1,22
9,OAK,Hearts of Oak,14,5,6,3,15,12,3,21
10,INT,Inter Allies,14,5,4,5,22,21,1,19
11,ELE,Eleven Wonders,15,5,4,6,11,15,-4,19
12,OLY,Great Olympics,15,5,2,8,14,20,-6,17
13,DRE,Dreams F.C.,15,4,4,7,10,11,-1,16
14,LIB,Liberty Professionals,15,4,4,7,21,23,-2,16
15,LEG,Legon Cities,15,3,7,5,12,18,-6,16
16,EBU,Ebusua Dwarfs,15,4,3,8,13,20,-7,15
17,KAR,Karela,15,2,5,8,10,16,-6,11
18,KIN,King Faisal Babes,14,0,6,8,17,29,-12,6
