code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,OAK,Hearts of Oak,34,17,10,7,45,23,22,61
2,ASA,Asante Kotoko,34,15,12,7,37,22,15,57
3,WAF,AWAFA,34,16,8,10,46,38,8,56
4,ADU,Aduana Stars,34,16,7,11,44,42,2,55
5,MED,Medeama,34,15,9,10,38,34,4,54
6,OLY,Great Olympics,34,15,7,12,37,33,4,52
7,DRE,Dreams F.C.,34,13,10,11,45,35,10,49
8,KAR,Karela,34,12,10,12,42,41,1,46
9,ASH,Ashanti Gold,34,11,12,11,50,36,14,45
10,BCH,Berekum Chelsea,34,12,7,15,38,46,-8,43
11,LEG,Legon Cities,34,11,9,14,34,35,-1,42
12,ELE,Eleven Wonders,34,11,9,14,33,38,-5,42
13,BEC,Bechem United,34,11,9,14,38,47,-9,42
14,EBU,Ebusua Dwarfs,34,12,8,14,40,44,-4,41
15,ELM,Elmina Sharks,34,10,11,13,34,45,-11,41
16,KIN,King Faisal Babes,34,10,11,13,32,45,-13,41
17,LIB,Liberty Professionals,34,10,10,14,33,45,-12,40
18,INT,Inter Allies,34,7,5,22,28,45,-17,26
