code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MED,Medeama,34,18,6,10,44,29,15,60
2,ADU,Aduana Stars,34,15,10,9,32,25,7,55
3,BEC,Bechem United,34,16,6,12,42,26,16,54
4,ASA,Asante Kotoko,34,13,13,8,42,31,11,52
5,BGS,Bibiani Gold Stars,34,13,10,11,39,36,3,49
6,DRE,Dreams F.C.,34,13,9,12,38,30,8,48
7,BCH,Berekum Chelsea,34,13,8,13,36,35,1,47
8,KAR,Karela,34,13,8,13,32,32,0,47
9,LEG,Legon Cities,34,12,10,12,39,38,1,46
10,SMR,Samartex,34,12,10,12,28,29,-1,46
11,RTU,RTU,34,12,10,12,39,42,-3,46
12,OAK,Hearts of Oak,34,12,10,12,32,37,-5,46
13,NSO,Nsoatreman,34,14,4,16,31,38,-7,46
14,OLY,Great Olympics,34,12,9,13,29,35,-6,45
15,ACC,Accra Lions,34,13,6,15,37,44,-7,45
16,TAM,Tamale City,34,10,12,12,38,37,1,42
17,KIN,King Faisal Babes,34,12,6,16,31,43,-12,42
18,KTK,Kotoku Royals,34,7,5,22,35,57,-22,26
